cluster,angle,major,minor,pixel,size,diameter,center_x,center_y,color_variance
150,0,0,0,34551,98237.83697244,353.6669320456136,520.7579632774739,1174.4041133454891,1548.0880228495232
151,0,0,0,13177,37465.77458788,218.40994890211059,1310.7400638385063,921.9598258936024,2146.620166915074
152,0,0,0,3367,9573.29157148,110.40422728359711,2138.9294255420255,792.8835918027918,76.07959043420878
153,0,0,0,10148,28853.50842512,191.67010181875514,1188.579915057154,859.0516048679542,3333.751383388677
154,0,0,0,6695,19035.6955958,155.68237020971108,708.1558948170276,827.033120746826,283.1928597857909
155,0,0,0,4361,12399.50238884,125.6484650782062,2321.3123918367346,876.1272487044256,592.1206563923282
156,0,0,0,1938,5510.25811272,83.7608412733113,392.89591093911247,771.7210136222909,47.69576052679504
157,0,0,0,7975,22675.081759,169.9141276517693,940.5209185956112,832.64619430721,650.1600231758728
159,0,0,0,3115,8856.7874206,106.19233486095341,33.23952199036918,847.847884494382,574.4735646138269
160,0,0,0,4122,11719.96075368,122.15693797050373,1800.8260106259097,836.5630092188258,325.93555838530835
161,0,0,0,3761,10693.54012484,116.68520968896819,2017.9653421430469,874.0214378622708,26.984308582443376
162,0,0,0,3624,10304.01207456,114.5402795646946,1944.6622621412805,835.661922406181,36.49713066922016
163,0,0,0,3467,9857.61861548,112.03173585259947,2078.8171036054223,905.938307585809,47.618615136709884
164,0,0,0,5499,15635.14414956,141.09317424614989,1991.757286306601,936.5088566284779,745.259678386862
165,0,0,0,2637,7497.70415028,97.70554446325677,2202.3357808115284,866.7611522942739,206.35094953542458
166,0,0,0,2692,7654.08402448,98.71921018066138,1158.7883345468053,832.3357552005943,238.25356443835568
167,0,0,0,7261,20644.98666484,162.12961920082458,2494.6315329293484,906.4046064729376,2441.000124369048
168,0,0,0,1692,4810.81358448,78.26441144037979,2479.3727341607564,861.966106501182,56.39426951472372
170,0,0,0,13949,39660.77936756,224.7168722321353,1939.0163697756109,1053.9076384687073,1606.4894433883487
171,0,0,0,7694,21876.12276536,166.89381231890383,1609.1837902521443,969.5720130491292,1265.6181867296186
172,0,0,0,3564,10133.41584816,113.58814102327462,1509.3179038720539,906.5577051627384,48.49362876803954
173,0,0,0,7675,21822.100627,166.68761641911613,2351.697771882736,971.734760416938,639.00741998748
174,0,0,0,16690,47454.1836436,245.80590549894458,112.97267217495506,1071.1962849131216,889.3926437977844
175,0,0,0,8543,24290.05936892,175.86092269880132,637.7126290764368,941.9824155448905,538.1020444132018
176,0,0,0,1960,5572.8100624,84.23492237039048,1436.1632094897957,951.7618251020408,405.315795241566
177,0,0,0,2162,6147.15069128,88.46917738729002,108.47912664199814,906.6179529139686,42.884292090870744
178,0,0,0,1751,4978.56654044,79.61725815037553,2450.2431245002854,937.7043906339235,56.77228024387468
179,0,0,0,7638,21716.89962072,166.28534326916719,782.7292714846818,1055.5475125949201,404.3489499759373
180,0,0,0,8198,23309.13106712,172.27335089349168,950.8826938277629,951.3767475481824,798.892165741637
181,0,0,0,3635,10335.2880494,114.7139810603957,1113.739506850069,1030.0571350756532,580.0701506256042
182,0,0,0,2025,5757.622641,85.6202828200404,1195.1685677037035,941.3442571851853,35.12109739368999
183,0,0,0,3722,10582.652577679999,116.07864467720012,1549.9448919935517,958.9612393336914,689.297632893399
184,0,0,0,2617,7440.83874148,97.33432144752311,1148.5689507833397,950.7661573557508,41.13550870830898
185,0,0,0,1454,4134.1152197599995,72.55149192325358,863.9594768913341,993.7006220082532,61.52932052924247
186,0,0,0,1805,5132.1031442,80.83561511397748,1816.0056377839335,961.0910275900276,127.45551246537397
187,0,0,0,1537,4370.10666628,74.59351595291945,876.6287211450878,983.6481160702667,58.14720900926147
